review,prediction,confidence,top2_attention_words,words,weights_normalized,ghi_chu_phan_tich,vi_tri_tu_quan_trong_nhat
yêu cầu op màng bọc cam cửa hàng ổn mới đặt nhận hang thi thấy không co che cam thất vọng,MỈA MAI,0.5983,"vọng, thất",yêu | cầu | op | màng | bọc | cam | cửa | hàng | ổn | mới | đặt | nhận | hang | thi | thấy | không | co | che | cam | thất | vọng,0.003 | 0.000 | 0.025 | 0.046 | 0.056 | 0.090 | 0.127 | 0.167 | 0.224 | 0.297 | 0.386 | 0.456 | 0.541 | 0.610 | 0.683 | 0.763 | 0.820 | 0.871 | 0.925 | 0.976 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
cửa hàng hàng tặng cửa hàng đóng gói túi form đẹp sang chất lượng hàng tay nguyên vệt đen bẩn khâu đóng gói thất vọng vô cùng,MỈA MAI,0.6116,"cùng, vô",cửa | hàng | hàng | tặng | cửa | hàng | đóng | gói | túi | form | đẹp | sang | chất | lượng | hàng | tay | nguyên | vệt | đen | bẩn | khâu | đóng | gói | thất | vọng | vô | cùng,0.008 | 0.000 | 0.004 | 0.017 | 0.029 | 0.042 | 0.048 | 0.058 | 0.088 | 0.102 | 0.132 | 0.181 | 0.228 | 0.280 | 0.335 | 0.401 | 0.475 | 0.555 | 0.623 | 0.665 | 0.731 | 0.781 | 0.834 | 0.899 | 0.949 | 0.974 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
đóng gói keo cái tuýp kem nó to lấy hộp to xíu đựng nó thẳng sản phẩm không hở cửa hàng mặc biết bọc nilon quấn kĩ lỡ nó bể chảy kem sao cầm tuýp kem bẹo hình bẹo dạng phát chán quan trọng sản phẩm nsx cũ đầu năm giờ năm rồi mặc hạn sử dụng tới năm không ưng đồ đạc lâu hàng mỹ phẩm dễ xỉn màu bên,MỈA MAI,0.6569,"năm, đầu",đóng | gói | keo | cái | tuýp | kem | nó | to | lấy | hộp | to | xíu | đựng | nó | thẳng | sản | phẩm | không | hở | cửa | hàng | mặc | biết | bọc | nilon | quấn | kĩ | lỡ | nó | bể | chảy | kem | sao | cầm | tuýp | kem | bẹo | hình | bẹo | dạng | phát | chán | quan | trọng | sản | phẩm | nsx | cũ | đầu | năm | giờ | năm | rồi | mặc | hạn | sử | dụng | tới | năm | không | ưng | đồ | đạc | lâu | hàng | mỹ | phẩm | dễ | xỉn | màu | bên,0.019 | 0.002 | 0.016 | 0.000 | 0.014 | 0.002 | 0.054 | 0.085 | 0.067 | 0.097 | 0.130 | 0.143 | 0.103 | 0.157 | 0.192 | 0.228 | 0.268 | 0.360 | 0.427 | 0.485 | 0.530 | 0.576 | 0.617 | 0.629 | 0.657 | 0.680 | 0.715 | 0.724 | 0.766 | 0.755 | 0.761 | 0.747 | 0.769 | 0.777 | 0.798 | 0.797 | 0.815 | 0.821 | 0.831 | 0.840 | 0.860 | 0.871 | 0.878 | 0.894 | 0.910 | 0.928 | 0.957 | 0.967 | 0.990 | 1.000,Từ quan trọng nhất ở cuối câu (có thể lệch vị trí),1.0
không xứng đáng hàng ọp ẹp thổi không mạnh quảng cáo tệ,KHÔNG MỈA MAI,0.4214,"tệ, cáo",không | xứng | đáng | hàng | ọp | ẹp | thổi | không | mạnh | quảng | cáo | tệ,0.000 | 0.105 | 0.209 | 0.307 | 0.404 | 0.505 | 0.600 | 0.735 | 0.842 | 0.919 | 0.978 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
màu ghi giao kia rồi bảo giao đúng tui không thích ghi phân loại đen nhận hộp ghi xám full ib hỏi bảo xám đen giao đúng,KHÔNG MỈA MAI,0.3141,"đúng, giao",màu | ghi | giao | kia | rồi | bảo | giao | đúng | tui | không | thích | ghi | phân | loại | đen | nhận | hộp | ghi | xám | full | ib | hỏi | bảo | xám | đen | giao | đúng,0.150 | 0.141 | 0.102 | 0.107 | 0.049 | 0.058 | 0.025 | 0.033 | 0.000 | 0.039 | 0.009 | 0.039 | 0.082 | 0.085 | 0.124 | 0.165 | 0.238 | 0.343 | 0.440 | 0.503 | 0.583 | 0.691 | 0.802 | 0.887 | 0.953 | 0.959 | 1.000,Từ quan trọng nhất ở cuối câu (có thể lệch vị trí),1.0
sản phẩm dạng sữa đặc bôi không nặng mặt dính dấp khó chịu chắc do dưỡng da da hỗn hợp khô điều hoà bôi xong da kiểu bóng bóng xỉn xỉn lỡ quẹt đường mặt chỗ da trắng tái vắt tái chanh hương thơm dễ chịu khả năng chống nắng kiểm chứng nói chung khá thất vọng,MỈA MAI,0.7515,"mặt, đường",sản | phẩm | dạng | sữa | đặc | bôi | không | nặng | mặt | dính | dấp | khó | chịu | chắc | do | dưỡng | da | da | hỗn | hợp | khô | điều | hoà | bôi | xong | da | kiểu | bóng | bóng | xỉn | xỉn | lỡ | quẹt | đường | mặt | chỗ | da | trắng | tái | vắt | tái | chanh | hương | thơm | dễ | chịu | khả | năng | chống | nắng | kiểm | chứng | nói | chung | khá | thất | vọng,0.000 | 0.004 | 0.014 | 0.035 | 0.071 | 0.100 | 0.165 | 0.201 | 0.279 | 0.353 | 0.424 | 0.478 | 0.522 | 0.589 | 0.654 | 0.694 | 0.731 | 0.773 | 0.818 | 0.842 | 0.890 | 0.910 | 0.927 | 0.934 | 0.948 | 0.939 | 0.944 | 0.944 | 0.947 | 0.960 | 0.974 | 0.980 | 0.993 | 0.997 | 1.000 | 0.992 | 0.989 | 0.995 | 0.991 | 0.981 | 0.968 | 0.947 | 0.930 | 0.918 | 0.908 | 0.908 | 0.907 | 0.914 | 0.934 | 0.945,Bình thường,0.69
mùi hương không thích mùi hàng không đúng cửa hàng đăng sản phẩm hình mặt bé chai gởi hàng không,KHÔNG MỈA MAI,0.4968,"không, hàng",mùi | hương | không | thích | mùi | hàng | không | đúng | cửa | hàng | đăng | sản | phẩm | hình | mặt | bé | chai | gởi | hàng | không,0.000 | 0.006 | 0.059 | 0.067 | 0.104 | 0.145 | 0.232 | 0.307 | 0.373 | 0.437 | 0.500 | 0.566 | 0.629 | 0.684 | 0.761 | 0.775 | 0.834 | 0.909 | 0.947 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
loại mặt nạ không nằm giỏ hàng loại mặt nạ nhỏ hẳn dòng khác không phủ hết mặt hiệu quả không rõ rệt dòng mặt nạ hành tím rau má vitamin,MỈA MAI,0.7697,"hành, tím",loại | mặt | nạ | không | nằm | giỏ | hàng | loại | mặt | nạ | nhỏ | hẳn | dòng | khác | không | phủ | hết | mặt | hiệu | quả | không | rõ | rệt | dòng | mặt | nạ | hành | tím | rau | má | vitamin,0.000 | 0.035 | 0.066 | 0.120 | 0.173 | 0.237 | 0.286 | 0.328 | 0.394 | 0.444 | 0.457 | 0.510 | 0.559 | 0.612 | 0.666 | 0.715 | 0.772 | 0.829 | 0.868 | 0.900 | 0.926 | 0.949 | 0.964 | 0.978 | 0.994 | 0.996 | 1.000 | 0.999 | 0.989 | 0.984 | 0.972,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),0.87
sản phảm kém chất lượng trầy xước sử dụng sản phẩm mặt hàng khó kiểm tra kỹ việc sâm soi bất khả thi dán dt mới thấy lỗi lẽ mới loại không hộp treo đầu bán thịt tr khách hàng người tiêu dùng mang doanh thu cửa hàng học nguyên tắc củng đạo đức nghề nghiệp cái khách hàng muốn không trả hàng hoàn tiền thái độ thiện chí niềm nở giải quyết cách dễ thương khách hàng lớn rồi khó bảo nói nhiêu mong cửa hàng hiểu,MỈA MAI,0.7411,"treo, đầu",sản | phảm | kém | chất | lượng | trầy | xước | sử | dụng | sản | phẩm | mặt | hàng | khó | kiểm | tra | kỹ | việc | sâm | soi | bất | khả | thi | dán | dt | mới | thấy | lỗi | lẽ | mới | loại | không | hộp | treo | đầu | bán | thịt | tr | khách | hàng | người | tiêu | dùng | mang | doanh | thu | cửa | hàng | học | nguyên | tắc | củng | đạo | đức | nghề | nghiệp | cái | khách | hàng | muốn | không | trả | hàng | hoàn | tiền | thái | độ | thiện | chí | niềm | nở | giải | quyết | cách | dễ | thương | khách | hàng | lớn | rồi | khó | bảo | nói | nhiêu | mong | cửa | hàng | hiểu,0.000 | 0.007 | 0.048 | 0.089 | 0.136 | 0.221 | 0.284 | 0.328 | 0.361 | 0.406 | 0.443 | 0.505 | 0.543 | 0.592 | 0.641 | 0.683 | 0.722 | 0.756 | 0.783 | 0.795 | 0.814 | 0.822 | 0.845 | 0.853 | 0.874 | 0.892 | 0.919 | 0.947 | 0.965 | 0.975 | 0.983 | 0.990 | 0.993 | 1.000 | 0.994 | 0.991 | 0.983 | 0.969 | 0.957 | 0.940 | 0.927 | 0.918 | 0.909 | 0.908 | 0.920 | 0.934 | 0.943 | 0.948 | 0.971 | 0.979,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),0.67
buôn bán không rõ ràng tắc trách khách hàng thắc mắc mua lần đầu ổn lần trả lời lỗi do khách,MỈA MAI,0.5746,"khách, do",buôn | bán | không | rõ | ràng | tắc | trách | khách | hàng | thắc | mắc | mua | lần | đầu | ổn | lần | trả | lời | lỗi | do | khách,0.000 | 0.021 | 0.077 | 0.150 | 0.226 | 0.268 | 0.329 | 0.396 | 0.442 | 0.467 | 0.505 | 0.511 | 0.567 | 0.610 | 0.661 | 0.713 | 0.765 | 0.834 | 0.903 | 0.965 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
chai nhận không nguyên vẹn đổ dầu không quay chủ quan không đổi trả không thơm nhân mạnh lần không thơm mùi nhẹ không thơm không ấn tượng mùi chất bình thường tạo độ bóng kém không quán,MỈA MAI,0.7773,"bóng, độ",chai | nhận | không | nguyên | vẹn | đổ | dầu | không | quay | chủ | quan | không | đổi | trả | không | thơm | nhân | mạnh | lần | không | thơm | mùi | nhẹ | không | thơm | không | ấn | tượng | mùi | chất | bình | thường | tạo | độ | bóng | kém | không | quán,0.000 | 0.028 | 0.088 | 0.139 | 0.193 | 0.252 | 0.303 | 0.377 | 0.439 | 0.493 | 0.523 | 0.574 | 0.599 | 0.632 | 0.680 | 0.714 | 0.757 | 0.798 | 0.819 | 0.846 | 0.863 | 0.881 | 0.894 | 0.905 | 0.916 | 0.923 | 0.931 | 0.945 | 0.950 | 0.956 | 0.967 | 0.976 | 0.985 | 0.997 | 1.000 | 0.995 | 0.983 | 0.963,Từ quan trọng nhất ở cuối câu (có thể lệch vị trí),0.92
mua hàng hư hỏng nhắn tin cửa hàng trả lời hời hợt từng dân nghiện sữa dutch lady chắc giờ chuyển qua bên sữa khác hàng vận chuyển kb do vận chuyển do lúc đóng gói phản hồi cửa hàng trl bảo trả lỡ bỏ rửa vứt thùng ướt hết nhũn rồi hỏi cách xử lý khác không cửa hàng không trả lời thất vọng chăm sóc khách hàng sự,KHÔNG MỈA MAI,0.475,"vứt, bỏ",mua | hàng | hư | hỏng | nhắn | tin | cửa | hàng | trả | lời | hời | hợt | từng | dân | nghiện | sữa | dutch | lady | chắc | giờ | chuyển | qua | bên | sữa | khác | hàng | vận | chuyển | kb | do | vận | chuyển | do | lúc | đóng | gói | phản | hồi | cửa | hàng | trl | bảo | trả | lỡ | bỏ | rửa | vứt | thùng | ướt | hết | nhũn | rồi | hỏi | cách | xử | lý | khác | không | cửa | hàng | không | trả | lời | thất | vọng | chăm | sóc | khách | hàng | sự,0.337 | 0.296 | 0.262 | 0.239 | 0.216 | 0.182 | 0.157 | 0.130 | 0.101 | 0.087 | 0.050 | 0.040 | 0.043 | 0.033 | 0.030 | 0.019 | 0.009 | 0.000 | 0.005 | 0.007 | 0.015 | 0.013 | 0.038 | 0.045 | 0.063 | 0.073 | 0.101 | 0.134 | 0.178 | 0.243 | 0.307 | 0.383 | 0.487 | 0.577 | 0.634 | 0.694 | 0.763 | 0.804 | 0.844 | 0.877 | 0.920 | 0.959 | 0.969 | 0.979 | 0.991 | 0.983 | 1.000 | 0.987 | 0.973 | 0.968,Từ quan trọng nhất ở cuối câu (có thể lệch vị trí),0.94
bì mẫu mã mới hương vị ổn không hài lòng cách đóng gói cửa hàng xì bịch sữa chảy ướt thùng giấy ngoài thể không ủng hộ lần,MỈA MAI,0.5415,"không, ủng",bì | mẫu | mã | mới | hương | vị | ổn | không | hài | lòng | cách | đóng | gói | cửa | hàng | xì | bịch | sữa | chảy | ướt | thùng | giấy | ngoài | thể | không | ủng | hộ | lần,0.000 | 0.007 | 0.020 | 0.058 | 0.085 | 0.112 | 0.153 | 0.237 | 0.331 | 0.436 | 0.531 | 0.574 | 0.628 | 0.680 | 0.724 | 0.762 | 0.786 | 0.830 | 0.853 | 0.856 | 0.858 | 0.891 | 0.927 | 0.962 | 1.000 | 0.980 | 0.955 | 0.951,Từ quan trọng nhất ở cuối câu (có thể lệch vị trí),0.89
hộp móp bên ngoài đóng gói cực chắc chắn cửa hàng xem xét hàng móp không gửi khách thấy cmt kêu hàng móp gửi khách cố tình đặt không ngờ dính,MỈA MAI,0.7871,"đặt, tình",hộp | móp | bên | ngoài | đóng | gói | cực | chắc | chắn | cửa | hàng | xem | xét | hàng | móp | không | gửi | khách | thấy | cmt | kêu | hàng | móp | gửi | khách | cố | tình | đặt | không | ngờ | dính,0.000 | 0.070 | 0.146 | 0.219 | 0.273 | 0.328 | 0.396 | 0.457 | 0.499 | 0.547 | 0.585 | 0.623 | 0.665 | 0.699 | 0.741 | 0.767 | 0.798 | 0.836 | 0.864 | 0.888 | 0.907 | 0.918 | 0.938 | 0.945 | 0.963 | 0.975 | 0.992 | 1.000 | 0.988 | 0.978 | 0.963,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),0.9
độ mềm tốt xơ bông on hình ảnh khác nhận liệu treo đầu dê bán thịt chó không,KHÔNG MỈA MAI,0.4299,"không, chó",độ | mềm | tốt | xơ | bông | on | hình | ảnh | khác | nhận | liệu | treo | đầu | dê | bán | thịt | chó | không,0.000 | 0.015 | 0.048 | 0.093 | 0.146 | 0.227 | 0.279 | 0.320 | 0.400 | 0.471 | 0.531 | 0.636 | 0.704 | 0.795 | 0.848 | 0.901 | 0.943 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
độ tuổi sử dụng tuổi chất lượng sản phẩm ổn bì mẫu mã chắc chắn đơn đặt hàng quà nhiên hàng giao không quà tặng cửa hàng vui lòng liên hệ gửi bổ sung đúng quà,KHÔNG MỈA MAI,0.4573,"quà, đúng",độ | tuổi | sử | dụng | tuổi | chất | lượng | sản | phẩm | ổn | bì | mẫu | mã | chắc | chắn | đơn | đặt | hàng | quà | nhiên | hàng | giao | không | quà | tặng | cửa | hàng | vui | lòng | liên | hệ | gửi | bổ | sung | đúng | quà,0.234 | 0.197 | 0.164 | 0.127 | 0.090 | 0.074 | 0.058 | 0.047 | 0.032 | 0.027 | 0.019 | 0.008 | 0.000 | 0.016 | 0.017 | 0.034 | 0.077 | 0.107 | 0.150 | 0.168 | 0.202 | 0.227 | 0.304 | 0.364 | 0.422 | 0.477 | 0.535 | 0.603 | 0.694 | 0.730 | 0.801 | 0.835 | 0.895 | 0.953 | 0.986 | 1.000,Từ quan trọng nhất ở cuối câu (có thể lệch vị trí),1.0
hương thơm không lợi ích ch biet mẹo không thiếu quà tặng giải quyết vấn đề lâu nhắn tin giải quyết lâu mới trả lời,MỈA MAI,0.6058,"lời, trả",hương | thơm | không | lợi | ích | ch | biet | mẹo | không | thiếu | quà | tặng | giải | quyết | vấn | đề | lâu | nhắn | tin | giải | quyết | lâu | mới | trả | lời,0.000 | 0.000 | 0.037 | 0.044 | 0.052 | 0.064 | 0.071 | 0.055 | 0.100 | 0.138 | 0.186 | 0.228 | 0.305 | 0.391 | 0.461 | 0.532 | 0.606 | 0.686 | 0.745 | 0.822 | 0.885 | 0.926 | 0.966 | 0.982 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
chăm sóc khách hàng kém hàng gửi chả cod tem dán niêm phong gig gửi caia chai mở dùng rồi đúng tệ,MỈA MAI,0.639,"tệ, đúng",chăm | sóc | khách | hàng | kém | hàng | gửi | chả | cod | tem | dán | niêm | phong | gig | gửi | caia | chai | mở | dùng | rồi | đúng | tệ,0.000 | 0.059 | 0.136 | 0.197 | 0.281 | 0.355 | 0.420 | 0.490 | 0.537 | 0.615 | 0.650 | 0.690 | 0.731 | 0.761 | 0.794 | 0.824 | 0.868 | 0.913 | 0.945 | 0.965 | 0.994 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
giao hàng nhanh nhận không hộp tuýp kem phản ánh cửa hàng bảo rút kinh nghiệm chứ không giải thích nói chung chán,MỈA MAI,0.548,"chán, chung",giao | hàng | nhanh | nhận | không | hộp | tuýp | kem | phản | ánh | cửa | hàng | bảo | rút | kinh | nghiệm | chứ | không | giải | thích | nói | chung | chán,0.013 | 0.008 | 0.000 | 0.011 | 0.052 | 0.092 | 0.143 | 0.173 | 0.230 | 0.291 | 0.343 | 0.395 | 0.475 | 0.546 | 0.608 | 0.672 | 0.724 | 0.807 | 0.880 | 0.913 | 0.953 | 0.984 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
sạch ổn mát lạnh ổn hương thơm ổn giao hàng lâu hàng móp méo,KHÔNG MỈA MAI,0.1406,"móp, méo",sạch | ổn | mát | lạnh | ổn | hương | thơm | ổn | giao | hàng | lâu | hàng | móp | méo,0.644 | 0.547 | 0.392 | 0.000 | 0.096 | 0.112 | 0.141 | 0.333 | 0.132 | 0.208 | 0.261 | 0.270 | 1.000 | 0.845,Từ quan trọng nhất ở cuối câu (có thể lệch vị trí),0.92
hủy điwn giao lạthees khổ síp pi uy tín gia tộc thể cắt tiền tỷ thức trách nhiệm bất hiếu,MỈA MAI,0.7177,"hiếu, bất",hủy | điwn | giao | lạthees | khổ | síp | pi | uy | tín | gia | tộc | thể | cắt | tiền | tỷ | thức | trách | nhiệm | bất | hiếu,0.000 | 0.049 | 0.076 | 0.131 | 0.187 | 0.261 | 0.343 | 0.447 | 0.552 | 0.645 | 0.724 | 0.788 | 0.842 | 0.875 | 0.914 | 0.944 | 0.967 | 0.983 | 0.994 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
bì mẫu mã nhu mo ta hương vị kem đặc đường giao hàng nhanh đóng gói cẩu thả mở hộp bịch sữa không thấy bọc lớp mua shopee mall uy tín khấu đóng hàng thất vọng nhìn hộp sữa không thấy mới,KHÔNG MỈA MAI,0.0982,"bì, mẫu",bì | mẫu | mã | nhu | mo | ta | hương | vị | kem | đặc | đường | giao | hàng | nhanh | đóng | gói | cẩu | thả | mở | hộp | bịch | sữa | không | thấy | bọc | lớp | mua | shopee | mall | uy | tín | khấu | đóng | hàng | thất | vọng | nhìn | hộp | sữa | không | thấy | mới,1.000 | 0.928 | 0.860 | 0.758 | 0.658 | 0.538 | 0.464 | 0.390 | 0.321 | 0.280 | 0.236 | 0.191 | 0.163 | 0.136 | 0.115 | 0.100 | 0.092 | 0.086 | 0.080 | 0.075 | 0.064 | 0.058 | 0.056 | 0.049 | 0.041 | 0.037 | 0.029 | 0.026 | 0.022 | 0.025 | 0.027 | 0.023 | 0.021 | 0.020 | 0.022 | 0.020 | 0.015 | 0.016 | 0.012 | 0.011 | 0.005 | 0.000,Bình thường,0.0
ngoại hình ổn chất lượng con dính con lỗi đen dính tình trạng bên tiếng ying ting kbt thế nhắn cửa hàng rồi chx thấy trl bên tiếng lạ không ảnh hưởng ng khó tính tiếng lạ khó chịu rồi tặng cửa hàng,MỈA MAI,0.7703,"tiếng, lạ",ngoại | hình | ổn | chất | lượng | con | dính | con | lỗi | đen | dính | tình | trạng | bên | tiếng | ying | ting | kbt | thế | nhắn | cửa | hàng | rồi | chx | thấy | trl | bên | tiếng | lạ | không | ảnh | hưởng | ng | khó | tính | tiếng | lạ | khó | chịu | rồi | tặng | cửa | hàng,0.000 | 0.001 | 0.019 | 0.050 | 0.087 | 0.129 | 0.197 | 0.252 | 0.330 | 0.393 | 0.466 | 0.512 | 0.564 | 0.632 | 0.690 | 0.729 | 0.769 | 0.808 | 0.834 | 0.854 | 0.868 | 0.874 | 0.890 | 0.909 | 0.928 | 0.944 | 0.964 | 0.974 | 0.974 | 0.969 | 0.973 | 0.979 | 0.978 | 0.983 | 0.986 | 1.000 | 0.997 | 0.989 | 0.980 | 0.974 | 0.966 | 0.951 | 0.918,Từ quan trọng nhất ở cuối câu (có thể lệch vị trí),0.83
độ dịu nhẹ sử dụng biết sạch dùng biết mùi thơm dùng nước giặt omo matic quần áo bé yêu 1kg túi đóng gói sơ xài băng keo không dán thùng mở túi trầy hết,KHÔNG MỈA MAI,0.2441,"độ, dịu",độ | dịu | nhẹ | sử | dụng | biết | sạch | dùng | biết | mùi | thơm | dùng | nước | giặt | omo | matic | quần | áo | bé | yêu | 1kg | túi | đóng | gói | sơ | xài | băng | keo | không | dán | thùng | mở | túi | trầy | hết,1.000 | 0.803 | 0.697 | 0.556 | 0.415 | 0.314 | 0.219 | 0.169 | 0.117 | 0.073 | 0.021 | 0.000 | 0.087 | 0.115 | 0.092 | 0.072 | 0.089 | 0.142 | 0.054 | 0.076 | 0.105 | 0.183 | 0.184 | 0.202 | 0.255 | 0.255 | 0.285 | 0.357 | 0.488 | 0.510 | 0.469 | 0.495 | 0.550 | 0.660 | 0.644,Bình thường,0.0
đẹp da mụn lợi ích giao không đủ sao không nhận quà đơn hàng báo mua tặng bì tot,KHÔNG MỈA MAI,0.1915,"hàng, đơn",đẹp | da | mụn | lợi | ích | giao | không | đủ | sao | không | nhận | quà | đơn | hàng | báo | mua | tặng | bì | tot,0.210 | 0.168 | 0.273 | 0.287 | 0.295 | 0.267 | 0.429 | 0.309 | 0.431 | 0.610 | 0.712 | 0.819 | 0.924 | 1.000 | 0.923 | 0.664 | 0.580 | 0.402 | 0.000,Bình thường,0.72
chất lượng dịch vụ tệ ghi rõ ràng đặt hàng quà tặng nhận hoàn toàn không nhắn tin hỏi cửa hàng bơ khách hàng không buồn trả lời không uy tín xem thừơng khách hàng món quà nhỏ nó không đáng đánh giá chất lượng dịch vụ shoppee mall đáng sao chọn shoppee mall gặp trường hợp tệ vầy yêu cầu shoppee xem không quay,MỈA MAI,0.7725,"lời, uy",chất | lượng | dịch | vụ | tệ | ghi | rõ | ràng | đặt | hàng | quà | tặng | nhận | hoàn | toàn | không | nhắn | tin | hỏi | cửa | hàng | bơ | khách | hàng | không | buồn | trả | lời | không | uy | tín | xem | thừơng | khách | hàng | món | quà | nhỏ | nó | không | đáng | đánh | giá | chất | lượng | dịch | vụ | shoppee | mall | đáng | sao | chọn | shoppee | mall | gặp | trường | hợp | tệ | vầy | yêu | cầu | shoppee | xem | không | quay,0.000 | 0.020 | 0.043 | 0.064 | 0.091 | 0.145 | 0.226 | 0.311 | 0.401 | 0.466 | 0.541 | 0.596 | 0.652 | 0.698 | 0.741 | 0.786 | 0.830 | 0.868 | 0.900 | 0.918 | 0.925 | 0.940 | 0.956 | 0.960 | 0.969 | 0.975 | 0.987 | 1.000 | 0.997 | 0.997 | 0.991 | 0.985 | 0.985 | 0.974 | 0.963 | 0.959 | 0.950 | 0.940 | 0.943 | 0.935 | 0.931 | 0.920 | 0.920 | 0.917 | 0.916 | 0.923 | 0.933 | 0.947 | 0.967 | 0.980,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),0.55
không bán cùng quà sao hình thế giao hàng nhanh,KHÔNG MỈA MAI,0.2959,"nhanh, hàng",không | bán | cùng | quà | sao | hình | thế | giao | hàng | nhanh,0.000 | 0.111 | 0.289 | 0.436 | 0.596 | 0.705 | 0.830 | 0.895 | 0.968 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
tóc mượt dùng kem thấy tóc trở mềm mượt hẳn giảm gãy rụng dùng kem thấy tóc nó rụng gội không rụng dùng tới lúc vuốt tóc thấy nó rụng mua tặng thấy tuỳ chọn quà tặng loại sữa dưỡng thể chọn sl mua nhận sl hỏi cửa hàng cửa hàng bảo chọn quà tặng sự khó hiểu cách cửa hàng,MỈA MAI,0.654,"cửa, tuỳ",tóc | mượt | dùng | kem | thấy | tóc | trở | mềm | mượt | hẳn | giảm | gãy | rụng | dùng | kem | thấy | tóc | nó | rụng | gội | không | rụng | dùng | tới | lúc | vuốt | tóc | thấy | nó | rụng | mua | tặng | thấy | tuỳ | chọn | quà | tặng | loại | sữa | dưỡng | thể | chọn | sl | mua | nhận | sl | hỏi | cửa | hàng | cửa | hàng | bảo | chọn | quà | tặng | sự | khó | hiểu | cách | cửa | hàng,0.000 | 0.001 | 0.011 | 0.000 | 0.027 | 0.059 | 0.056 | 0.076 | 0.103 | 0.132 | 0.117 | 0.088 | 0.104 | 0.125 | 0.126 | 0.165 | 0.224 | 0.329 | 0.399 | 0.470 | 0.564 | 0.634 | 0.703 | 0.704 | 0.759 | 0.775 | 0.825 | 0.865 | 0.919 | 0.948 | 0.931 | 0.959 | 0.980 | 0.999 | 0.984 | 0.997 | 0.990 | 0.976 | 0.972 | 0.972 | 0.986 | 0.964 | 0.962 | 0.919 | 0.939 | 0.948 | 0.973 | 0.983 | 0.994 | 1.000,Từ quan trọng nhất ở cuối câu (có thể lệch vị trí),1.0
hương thơm thơm chai cùng loại xài trước không quà tặng kèm quảng cáo,KHÔNG MỈA MAI,0.3084,"cáo, quảng",hương | thơm | thơm | chai | cùng | loại | xài | trước | không | quà | tặng | kèm | quảng | cáo,0.000 | 0.024 | 0.061 | 0.108 | 0.219 | 0.276 | 0.347 | 0.482 | 0.619 | 0.731 | 0.824 | 0.870 | 0.949 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
hình ảnh mang tính chất họa hàng chính hãng không bàn rồi cửa hàng đóng gói không chắc chắn quấn lớp ny lông giao tới bể mất bịch,KHÔNG MỈA MAI,0.0788,"hình, ảnh",hình | ảnh | mang | tính | chất | họa | hàng | chính | hãng | không | bàn | rồi | cửa | hàng | đóng | gói | không | chắc | chắn | quấn | lớp | ny | lông | giao | tới | bể | mất | bịch,1.000 | 0.878 | 0.750 | 0.633 | 0.569 | 0.489 | 0.431 | 0.371 | 0.327 | 0.308 | 0.261 | 0.220 | 0.198 | 0.176 | 0.154 | 0.139 | 0.135 | 0.128 | 0.115 | 0.105 | 0.091 | 0.076 | 0.059 | 0.046 | 0.031 | 0.020 | 0.011 | 0.000,Bình thường,0.0
chả thơm quảng cáo mùi thơm nhất thứ lọ mới nước bên vơi gần nửa thất vọng,MỈA MAI,0.6374,"vọng, thất",chả | thơm | quảng | cáo | mùi | thơm | nhất | thứ | lọ | mới | nước | bên | vơi | gần | nửa | thất | vọng,0.000 | 0.020 | 0.059 | 0.103 | 0.148 | 0.202 | 0.284 | 0.372 | 0.466 | 0.561 | 0.670 | 0.763 | 0.840 | 0.893 | 0.941 | 0.980 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
đẹp chống nắng hương thơm nhẹ nhàng lợi ích chống nắng nhận hàng móp méo đóng gói sơ sài,KHÔNG MỈA MAI,0.1761,"méo, móp",đẹp | chống | nắng | hương | thơm | nhẹ | nhàng | lợi | ích | chống | nắng | nhận | hàng | móp | méo | đóng | gói | sơ | sài,0.416 | 0.212 | 0.159 | 0.138 | 0.196 | 0.396 | 0.441 | 0.372 | 0.251 | 0.123 | 0.000 | 0.000 | 0.046 | 0.838 | 1.000 | 0.726 | 0.639 | 0.588 | 0.247,Bình thường,0.78
